name,movement_type
Shufflebottom,shuffling
Shufflebottom,shuffling
Shufflebottom,shuffling
Shufflebottom,shuffling
Shufflebottom,shuffling
Shufflebottom,shuffling
Shufflebottom,shuffling
Shufflebottom,shuffling
Shufflebottom,shuffling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Shufflebottom,crawling
Walker,shuffling
Walker,shuffling
Walker,shuffling
Walker,shuffling
Walker,shuffling
Walker,shuffling
Walker,shuffling
Walker,shuffling
Walker,shuffling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Walker,crawling
Shufflebottom,crawling
Shufflebottom,crawling
