stopped_to_talk,fall
stop,fall
stop,fall
stop,fall
stop,fall
stop,fall
stop,fall
stop,fall
stop,fall
stop,fall
stop,fall
stop,no fall
stop,no fall
no stop,fall
no stop,fall
no stop,fall
no stop,fall
no stop,fall
no stop,fall
no stop,fall
no stop,fall
no stop,fall
no stop,fall
no stop,fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
no stop,no fall
